trip_date,total_revenue,total_trips,avg_fare,avg_trip_distance
2024-12-31,589.17,21,19.123809523809523,3.6576190476190478
2025-01-01,2315727.19,81034,20.22024076313646,4.833505565565071
2025-01-02,2377158.4,80673,20.261682719125357,3.743554968824762
2025-01-03,2439899.04,87069,19.070528890879647,6.189268626032226
2025-01-04,2503349.91,93795,18.538263233647847,3.274603763526841
2025-01-05,2230024.08,76128,20.01235104035309,3.8758236128625474
2025-01-06,2211882.32,76810,19.13549017055071,3.567972008853014
2025-01-07,2577414.33,95775,17.61745497259201,3.5088178543461233
2025-01-08,2819579.92,107178,17.19879816753438,2.9724451846461024
2025-01-09,3006387.78,111964,17.632785180951018,5.431476992604766
2025-01-10,2853079.91,104866,17.928191120096123,5.187661587168386
2025-01-11,2905256.13,115787,16.885311822570756,7.217923773826077
2025-01-12,2629887.99,96849,18.48119774081302,8.285581885202738
2025-01-13,2600211.67,94548,18.09060508947836,5.765669501205737
2025-01-14,3032150.8,113931,17.425582326144774,6.920393396002844
2025-01-15,3154169.07,118083,17.57354598036974,6.584605743417765
2025-01-16,3499833.8,128903,17.98661287945199,8.242086219870755
2025-01-17,3052074.69,111521,18.188383353807804,7.604411725145936
2025-01-18,2789932.27,112765,16.827069924178602,3.7611123132177537
2025-01-19,2698226.65,109447,17.179485595767815,5.822291885570185
2025-01-20,3279408.35,84030,30.183388075687255,4.2426494109246695
2025-01-21,2941925.83,109354,17.911218245331675,7.624030396693308
2025-01-22,3075754.25,117787,17.267078115581516,7.648272559790129
2025-01-23,3371218.62,126895,17.601537018795067,6.290326884432011
2025-01-24,3167660.16,119638,17.541292983834566,4.706130242899413
2025-01-25,3168245.6,129109,16.68708618299266,4.769950506936
2025-01-26,2607981.96,96670,18.46751949932761,6.618223647460433
2025-01-27,2443105.66,88202,18.303334391510397,3.30839493435523
2025-01-28,2826378.84,107213,17.30103784056038,2.9964033279546327
2025-01-29,3000644.51,113145,17.410118520482566,4.711833046091298
2025-01-30,3338614.21,123416,17.922624862254487,6.0958287418162955
2025-01-31,3214812.45,121225,17.708220251598267,5.761530377397402
2025-02-01,22.13,1,6.5,1.04
